CASEID,YEAR,STATE,DETOX,TREATMT,OWNERSHP,FEDOWN,HOSPITAL,LOCS,ASSESSMENT,TESTING,TRANSITION,ANCILLARY,SRVC75,SRVC71,SRVC108,SRVC85,SRVC87,SRVC86,OTP,OTPALL,OTPTYPE,COMPSAT,DUI_DWI,ONLYDUI,SIGNLANG,LANG,LANG16,LANG1,LANG2,LANG3,LANG4,LANG5,LANG6,LANG7,LANG8,LANG9,LANG10,LANG11,LANG19,LANG12,LANG13,LANG14,LANG15,LANG20,LANG17,LANG18,SRVC76,SRVC83,SRVC84,SRVC33,SRVC63,SRVC62,SRVC113,SRVC114,SRVC115,SRVC61,SRVC31,SRVC32,SRVC116,CTYPE4,CTYPEHI1,CTYPEHI2,CTYPE7,CTYPERC1,CTYPERC3,CTYPERC4,CTYPE1,CTYPE6,CTYPEML,CTYPEOP,CTYPE2,CTYPE3,FEESCALE,PAYASST,EARMARK,REVCHK3,REVCHK1,REVCHK8,REVCHK5,REVCHK10,REVCHK15,REVCHK2,REVCHK17,T_CLI1,T_CLI2,T_CLIHI,H_AGE1,HIMETNUM,HIBUPNUM,HIMATNUM,HOSPBED,T_CLI3,T_CLI9,T_CLI10,T_CLIRC,R_AGE1,RCMETNUM,RCBUPNUM,RCMATNUM,RESBED,T_CLI7,T_CLIML,T_CLI8,T_CLI6,T_CLI5,T_CLIOP,O_AGE1,OPMETNUM,OPBUPNUM,OPMATNUM,B_PCT,A_PCT,D_PCT,LOC5,LICEN,ACCRED
1,2012,AK,0,1,5,,0,,6,0,2,11,0,0,0,0,0,0,0,,,3,0,,0,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,1,1,0,1,1,0,1,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,1,1,1,1,2,2,1,1,1,,1,5,2,0,M,M
2,2012,AK,1,1,5,,0,,7,0,2,15,0,0,0,0,0,0,0,,,2,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,,,0,,,,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,1,1,1,1,5,5,5,1,1,,1,5,1,0,1,M
3,2012,AK,1,1,2,,0,,5,3,1,14,0,1,1,0,1,1,0,,,2,0,,0,0,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0,0,0,0,0,1,0,0,0,,,1,1,1,1,0,,,,,,1,1,1,0,1,0,1,0,0,1,D,,,,,,,,,1,3,2,3,1,1,1,,4,,,,,,,,,,,2,4,1,0,1,1
4,2012,AK,1,1,2,,0,,4,2,0,0,0,0,0,1,0,0,1,1,3,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0,0,0,0,1,0,0,0,0,,,0,,,,1,1,1,0,1,1,1,0,1,0,1,0,1,0,1,1,0,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,5,0,1,1
5,2012,AK,0,1,2,,0,,5,2,2,4,0,0,0,0,0,0,0,,,M,0,,0,0,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0,0,,0,0,1,1,M,0,,,1,0,0,1,0,,,,,,1,1,1,0,1,0,0,0,1,1,0,,,,,,,,,1,1,4,3,1,1,1,,3,,,,,,,,,,,3,2,4,0,1,1
6,2012,AK,1,1,2,,1,1,6,2,2,12,0,0,0,0,0,0,0,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0,0,0,0,0,0,0,1,0,,,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,D,,,,,,,,,1,2,1,2,1,1,1,,1,1,1,1,1,2,2,1,1,1,,4,2,1,0,1,1
7,2012,AK,0,1,2,,0,,4,1,2,7,0,0,0,0,0,0,0,,,1,0,,1,0,,,,,,,,,,,,,,,,,,,,,1,0,0,,,0,,,0,0,0,1,1,0,,,0,,,,1,0,0,0,1,1,0,1,0,0,0,0,1,1,1,1,0,,,,,,,,,,,,,,,,,,1,1,1,1,1,2,4,1,1,,4,1,1,0,1,M
8,2012,AK,0,1,5,,0,,7,7,2,10,0,1,0,1,0,0,0,,,2,0,,0,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,1,1,0,0,0,,,0,,,,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,1,1,1,1,2,2,1,1,1,,1,5,2,0,1,M
9,2012,AK,0,1,4,,0,,7,3,2,14,0,0,0,0,0,0,0,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,D,,,,,,,,,,,,,,,,,,,,,,4,3,,,,,1,5,1,0,1,M
10,2012,AK,0,1,2,,0,,6,0,2,10,0,0,0,0,0,0,0,,,M,0,,1,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,1,0,0,0,,,0,,,,1,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,5,1,1,0,1,M
11,2012,AK,1,1,2,,1,1,4,5,1,7,0,1,1,0,1,1,0,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,1,0,1,1,1,0,0,0,0,1,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,2,1,3,3,2,4,1,1,2,,1,5,4,0,1,1
12,2012,AK,0,1,6,3,M,,5,0,2,4,0,1,0,0,0,0,0,,,3,0,,0,0,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0,0,0,0,1,0,0,0,0,,,0,,,,1,0,0,0,0,1,0,1,1,0,0,D,1,D,D,1,1,,,,,,,,,,,,,,,,,,1,1,1,1,5,4,1,1,1,,3,4,1,0,M,1
13,2012,AK,0,1,1,,0,,3,1,2,1,0,0,0,0,0,0,0,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,D,,,,,,,,,,,,,,,,,,1,1,1,1,3,3,1,1,1,,2,5,1,0,1,M
14,2012,AK,0,1,2,,0,,4,1,1,11,0,0,0,0,0,0,0,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,1,0,0,,,0,,,0,0,1,0,1,0,,,1,0,1,1,0,,,,,,0,0,0,0,0,1,1,1,1,1,0,,,,,,,,,1,1,3,2,3,1,1,,1,,,,,,,,,,,4,1,1,0,M,M
15,2012,AK,0,1,6,2,1,1,5,7,2,6,0,1,0,0,0,0,0,,,4,0,,0,0,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0,,1,,0,0,0,0,0,,,0,,,,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,1,1,1,1,5,5,1,1,1,,1,5,1,0,M,1
16,2012,AK,0,1,5,,0,,6,2,2,10,0,0,0,0,0,0,0,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,0,1,1,0,1,0,1,1,1,D,1,1,D,,,,,,,,,,,,,,,,,,1,1,1,1,4,3,1,1,1,,5,1,1,0,1,M
17,2012,AK,0,1,2,,0,,5,1,2,10,0,0,0,0,0,0,0,,,2,0,,0,0,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,0,0,0,0,0,1,0,1,0,,,0,,,,1,0,0,0,1,1,1,1,1,0,1,1,1,0,1,1,D,,,,,,,,,,,,,,,,,,1,1,1,2,1,2,1,1,1,,3,2,4,0,1,1
18,2012,AK,0,1,1,,0,,7,0,2,12,0,0,0,0,0,0,0,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,1,1,1,0,D,0,1,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,1,1,1,4,4,4,1,1,1,,4,3,1,0,1,M
19,2012,AK,0,1,1,,0,,6,1,2,6,0,0,0,0,0,0,0,,,2,1,0,0,0,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,0,,,0,,,,1,0,0,0,1,1,0,1,0,0,1,0,0,0,D,1,D,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,1,1,1,0,1,M
20,2012,AK,0,1,2,,0,,7,7,2,14,0,1,0,0,0,0,0,,,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,0,0,1,1,1,1,0,,,0,,,,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,1,1,1,1,2,1,4,1,1,,4,1,1,0,M,M
21,2012,AK,0,1,2,,0,,7,1,2,16,0,0,0,0,0,0,0,,,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,1,0,,,0,,,,1,0,0,0,1,1,1,0,1,0,1,0,1,1,1,1,0,,,,,,,,,,,,,,,,,,1,1,1,5,4,5,4,1,1,,2,3,3,0,1,1
22,2012,AK,0,1,1,,1,1,7,4,2,14,0,0,0,0,0,0,0,,,5,0,,1,1,1,0,0,0,0,0,0,0,0,0,0,D,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,,,0,,,,1,D,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,,,,,,,,,,,,,,,,,,1,1,1,2,2,3,2,1,1,,5,1,1,0,1,M
23,2012,AK,0,1,2,,0,,6,2,2,15,1,1,1,0,1,0,0,,,1,0,,1,1,,,,,,,,,,,,,,,,,,,,,0,1,0,1,,0,0,,1,1,1,0,1,0,,,1,0,0,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,,,,,,,,,1,1,2,1,1,1,1,,2,1,1,1,4,1,3,1,1,1,,4,1,3,0,1,1
24,2012,AK,0,1,2,,0,,7,0,2,10,0,0,0,0,0,0,0,,,3,0,,0,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,,0,0,0,0,,,0,,,,1,0,0,0,1,1,1,1,1,0,1,0,1,0,1,1,0,,,,,,,,,,,,,,,,,,1,1,1,1,3,3,1,1,1,,3,4,1,0,1,M
25,2012,AK,0,1,2,,0,,7,3,2,13,0,0,0,0,0,0,0,,,1,0,,1,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,,,,,,,,,,,,,,,,,,1,1,1,1,2,2,3,1,1,,2,4,1,0,1,M
26,2012,AK,0,1,5,,1,1,6,2,2,14,0,0,0,0,0,0,0,,,1,0,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,M,0,1,0,,,1,0,0,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,,,,,,,,,1,1,2,2,1,1,1,,1,1,1,2,1,1,1,1,1,1,,5,1,1,0,1,1
27,2012,AK,0,1,5,,0,,7,0,2,10,0,0,0,0,1,0,0,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,,0,0,0,0,,,0,,,,1,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,1,,,,,,,,,,,,,,,,,,1,1,1,1,3,2,1,1,1,,1,5,1,0,1,M
28,2012,AK,0,1,2,,0,,6,2,2,8,0,0,0,0,0,0,0,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,1,0,1,0,,,0,,,,1,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,0,,,,,,,,,1,1,1,,1,1,1,,1,1,1,1,1,4,4,2,1,1,,4,1,1,0,1,M
29,2012,AK,0,1,2,,0,,5,4,1,12,0,1,0,0,0,0,0,,,2,0,,0,0,,,,,,,,,,,,,,,,,,,,,1,0,0,,,0,,,0,0,1,0,1,0,,,1,0,0,1,0,,,,,,0,0,0,0,1,0,1,0,1,1,0,,,,,,,,,1,1,1,1,2,1,1,,1,,,,,,,,,,,2,4,4,0,M,M
30,2012,AK,0,1,2,,0,,5,1,2,15,0,0,0,0,0,0,0,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,1,0,0,,,0,,,0,0,1,0,0,0,,,0,,,,1,0,0,0,1,1,0,1,1,0,0,0,1,1,0,1,D,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,3,1,1,,5,1,1,0,1,1
31,2012,AK,0,1,5,,0,,6,2,2,12,0,1,0,0,1,0,0,,,1,0,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,,0,0,1,0,0,0,,,0,,,,1,0,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,,,,,,,,,,,,,,,,,,1,2,1,1,1,2,2,1,1,,2,5,2,0,1,M
32,2012,AK,0,1,2,,0,,2,2,2,3,0,0,M,0,0,0,0,,,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,1,0,1,1,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,,,,,,,,,1,1,1,1,1,1,1,,3,1,1,1,3,1,1,1,1,1,,4,1,1,1,1,M
33,2012,AK,0,1,2,,1,1,6,0,2,12,0,0,0,0,0,0,0,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,,,,,,,,,,,,,,,,,,1,1,1,1,2,2,2,1,1,,1,1,5,0,1,M
34,2012,AK,0,1,1,,0,,4,1,2,2,0,0,0,0,0,0,0,,,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,D,,,,,,,,,,,,,,,,,,1,1,1,5,5,5,2,1,1,,1,5,1,0,1,M
35,2012,AK,0,1,1,,0,,6,2,2,4,0,1,1,0,1,1,0,,,2,0,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,,,0,,,,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,1,1,1,4,2,4,1,1,2,,4,3,1,0,1,M
36,2012,AK,0,1,2,,0,,6,1,2,10,0,0,0,0,0,0,0,,,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,0,1,1,0,1,0,1,1,1,1,1,1,0,,,,,,,,,,,,,,,,,,1,1,1,1,2,2,2,1,1,,2,5,1,0,1,M
37,2012,AK,0,1,2,,0,,5,5,2,6,0,0,0,0,0,0,0,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,3,2,3,,,,,1,5,1,0,1,1
38,2012,AK,0,1,1,,0,,4,0,2,3,0,0,0,0,0,0,0,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,0,1,0,0,0,0,1,0,0,D,0,1,0,,,,,,,,,,,,,,,,,,1,1,1,1,4,4,1,1,1,,2,3,4,0,1,M
39,2012,AK,0,1,2,,0,,7,1,2,14,0,0,0,0,0,0,0,,,2,0,,0,0,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0,0,0,0,1,1,0,1,0,,,0,,,,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,D,,,,,,,,,,,,,,,,,,1,1,5,5,4,5,1,1,1,,2,2,4,0,1,1
40,2012,AK,0,1,2,,0,,3,1,2,2,0,0,0,0,0,0,0,,,M,1,0,0,1,1,0,M,0,M,0,0,0,0,0,0,0,0,0,0,0,0,M,0,0,0,1,1,0,0,0,1,,0,0,1,0,0,0,,,0,,,,1,0,0,0,1,1,1,0,0,0,1,1,1,1,D,1,0,,,,,,,,,,,,,,,,,,1,1,1,1,3,3,1,1,1,,2,5,1,0,1,1
41,2012,AK,0,1,2,,0,,4,3,1,15,0,0,0,0,0,0,0,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,0,0,0,0,0,1,0,1,0,,,1,0,0,1,0,,,,,,1,1,1,0,1,1,1,1,1,1,0,,,,,,,,,1,1,2,2,1,1,1,,1,,,,,,,,,,,5,1,1,0,1,1
42,2012,AK,0,1,2,,0,,5,2,2,4,0,0,0,0,0,0,0,,,3,1,0,0,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,1,1,1,1,0,0,1,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,1,1,1,2,2,2,2,1,1,,4,2,2,0,1,M
43,2012,AK,0,1,2,,0,,6,0,2,10,0,0,0,0,0,0,0,,,5,0,,0,0,,,,,,,,,,,,,,,,,,,,,1,0,0,0,,0,,,0,1,1,0,0,0,,,0,,,,1,0,0,0,1,1,1,D,1,0,1,0,1,0,1,1,1,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,4,1,1,,5,1,1,0,1,M
44,2012,AK,0,1,2,,0,,1,1,1,12,1,0,0,0,0,0,0,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,1,0,0,,,0,,,0,0,0,0,0,0,,,1,0,0,1,0,,,,,,1,1,1,0,1,D,1,1,D,1,D,,,,,,,,,1,1,4,3,4,1,1,,3,,,,,,,,,,,5,1,1,0,1,1
45,2012,AK,0,1,2,,0,,7,0,2,13,0,0,M,0,0,0,0,,,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,,,,,,,,,,,,,,,,,,1,1,1,1,3,2,4,1,1,,2,5,1,0,1,M
46,2012,AK,0,1,2,,0,,3,2,2,15,0,0,0,0,0,0,0,,,1,0,,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,1,1,1,0,1,0,1,1,1,D,D,1,D,,,,,,,,,,,,,,,,,,1,1,1,2,3,3,1,1,1,,2,5,1,0,1,1
47,2012,AK,0,1,5,,0,,5,1,2,6,0,0,0,0,0,0,0,,,1,0,,0,1,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,,0,0,0,,0,,0,0,,,0,,,,1,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,,,,0,1,M
48,2012,AK,0,1,2,,0,,7,5,2,11,0,0,0,0,0,0,0,,,2,0,,1,0,,,,,,,,,,,,,,,,,,,,,1,1,1,M,,,,,,0,0,,0,0,,,0,,,,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,1,5,1,0,1,1
49,2012,AK,0,1,5,,0,,4,0,1,13,0,0,0,0,0,0,0,,,3,0,,0,0,,,,,,,,,,,,,,,,,,,,,0,1,0,,0,0,,,,,,,0,0,,,0,,,,1,0,0,0,0,1,0,1,0,D,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,1,5,1,0,M,M
50,2012,AK,0,1,2,,0,,7,2,2,10,0,0,0,0,0,0,0,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,0,1,1,0,1,0,1,0,1,D,1,1,D,,,,,,,,,,,,,,,,,,1,1,1,1,2,2,1,1,1,,2,5,1,0,1,M
51,2012,AK,0,1,5,,0,,7,2,2,9,0,0,0,0,0,0,0,,,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,0,,0,0,,,0,,,,1,0,0,0,1,1,1,1,1,0,1,D,D,D,D,D,D,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,,,,1,M,M
52,2012,AK,0,1,5,,0,,7,0,2,9,0,0,0,0,0,0,0,,,4,0,,0,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,1,0,1,0,,,0,,,,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,1,1,1,1,5,4,2,1,1,,4,2,2,0,1,M
53,2012,AK,0,1,5,,1,1,5,0,2,12,0,0,0,0,0,0,0,,,3,0,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,1,1,1,1,4,4,3,1,1,,1,5,1,0,1,1
54,2012,AK,0,1,5,,1,1,5,5,1,10,0,0,0,0,0,0,0,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,1,0,0,,,0,,,0,0,0,0,0,0,,,1,0,1,0,0,,,,,,1,1,1,0,0,1,1,1,1,1,1,,,,,,,,,1,2,1,1,2,1,1,,1,,,,,,,,,,,2,1,5,0,1,1
55,2012,AK,0,1,2,,0,,6,5,2,14,0,0,0,0,0,D,0,,,3,0,,0,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,0,1,0,1,0,0,1,1,1,1,D,1,1,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,5,1,1,0,1,M
56,2012,AK,0,1,5,,0,,6,5,2,9,0,0,0,0,0,0,0,,,1,0,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,,0,0,,,0,,,,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,,,,0,1,1
57,2012,AK,0,1,5,,0,,5,5,2,2,0,0,0,0,0,0,0,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0,0,,0,0,0,0,0,0,,,0,,,,1,0,0,0,0,1,0,1,D,0,0,0,1,1,1,0,1,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,4,3,1,0,M,1
58,2012,AK,0,1,2,,0,,6,6,2,5,0,0,M,0,0,0,0,,,5,0,,0,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,,,0,0,0,0,0,,,0,,,,1,0,0,0,0,1,1,1,D,0,1,1,1,D,D,D,D,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,5,1,1,0,1,M
59,2012,AK,0,1,5,,0,,1,0,2,3,0,0,0,0,0,0,0,,,M,0,,0,0,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,0,0,,,0,,,1,0,1,0,1,0,0,0,0,1,0,1,D,0,0,0,0,D,D,D,1,,,,,,,,,1,1,1,1,1,1,1,,1,1,1,1,1,2,2,1,1,1,,5,1,1,0,M,M
60,2012,AK,0,1,5,,0,,2,0,2,1,0,0,0,0,0,0,0,,,3,0,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,,,,,,,,,,,0,,,0,,,,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,,,,,,,,,,,,,,,,,,1,1,1,1,2,2,1,1,1,,5,1,1,0,1,M
61,2012,AK,0,1,6,2,0,,6,2,2,3,0,0,0,0,0,0,0,,,3,1,0,0,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,,0,0,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,1,1,1,1,5,5,1,1,1,,2,5,1,0,1,1
62,2012,AK,0,1,1,,0,,7,2,2,12,0,0,0,0,0,0,0,,,3,1,0,0,0,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,1,1,1,2,2,2,1,1,1,,2,3,3,0,1,M
63,2012,AK,0,1,5,,0,,7,7,2,13,0,1,1,0,0,D,0,,,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,,,0,0,0,0,0,,,0,,,,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,1,1,1,1,2,2,1,1,1,,1,5,2,0,1,1
64,2012,AK,0,1,2,,0,,4,2,2,11,0,0,0,0,0,0,0,,,3,0,,0,0,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,0,0,0,0,0,,,1,0,0,1,0,,,,,,1,1,1,0,1,0,1,1,0,1,1,,,,,,,,,1,1,1,1,2,1,1,,1,,,,,,,,,,,5,1,1,0,1,1
65,2012,AK,0,1,2,,1,1,7,1,2,15,0,0,0,0,0,0,0,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,0,0,0,0,0,0,1,0,,,0,,,,1,0,0,1,1,1,0,0,1,0,1,1,1,1,1,1,D,,,,,,,,,,,,,,,,,,1,1,1,2,4,4,4,1,1,,4,2,1,0,1,1
66,2012,AK,1,1,2,,0,,6,5,1,17,1,0,0,0,0,0,0,,,2,0,,0,0,,,,,,,,,,,,,,,,,,,,,1,0,0,,,0,,,0,0,1,0,0,0,,,1,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0,1,D,0,0,0,,,,,,,,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,2,1,1,,5,1,1,0,1,1
67,2012,AK,0,1,5,,0,,6,7,2,12,0,1,0,0,0,0,0,,,2,1,0,0,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,D,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,4,1,1,0,M,M
68,2012,AK,1,1,2,,0,,7,2,2,14,0,1,0,0,0,0,0,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,1,1,0,1,0,,,,,,0,1,1,0,0,1,1,0,1,1,0,,,,,,,,,3,1,1,2,1,1,1,,1,,,,,,,,,,,5,2,1,0,1,1
69,2012,AK,0,1,5,,1,1,7,1,1,2,0,0,0,0,0,0,0,,,1,0,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,0,0,0,0,,,,0,0,,,1,0,1,0,1,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1
