CASEID,YEAR,STATE,DETOX,TREATMT,OWNERSHP,FEDOWN,HOSPITAL,LOCS,ASSESSMENT,TESTING,TRANSITION,ANCILLARY,SRVC75,OTHER_SRVC,SRVC71,SRVC108,SRVC85,SRVC87,SRVC86,OTP,OTPALL,OTPTYPE,COMPSAT,DUI_DWI,ONLYDUI,SIGNLANG,LANG,LANG16,LANG1,LANG2,LANG3,LANG21,LANG4,LANG5,LANG6,LANG7,LANG8,LANG9,LANG10,LANG22,LANG11,LANG19,LANG23,LANG12,LANG13,LANG14,LANG15,LANG20,LANG17,LANG18,SRVC76,SRVC83,SRVC84,SRVC126,SRVC127,SRVC128,SRVC33,SRVC63,SRVC62,SRVC113,SRVC114,SRVC115,SRVC61,SRVC31,SRVC32,SRVC116,CTYPE4,CTYPEHI1,CTYPEHI2,CTYPE7,CTYPERC1,CTYPERC3,CTYPERC4,CTYPE1,CTYPE6,CTYPEML,CTYPEOP,CTYPE2,CTYPE3,FEESCALE,PAYASST,EARMARK,REVCHK3,REVCHK1,REVCHK8,REVCHK5,REVCHK10,REVCHK15,REVCHK2,REVCHK17,T_CLI1,T_CLI2,T_CLIHI,H_AGE1,HIMETNUM,HIBUPNUM,HIVIVNUM,HIMATNUM,HOSPBED,T_CLI3,T_CLI9,T_CLI10,T_CLIRC,R_AGE1,RCMETNUM,RCBUPNUM,RCVIVNUM,RCMATNUM,RESBED,T_CLI7,T_CLIML,T_CLI8,T_CLI6,T_CLI5,T_CLIOP,O_AGE1,OPMETNUM,OPBUPNUM,OPVIVNUM,OPMATNUM,B_PCT,A_PCT,D_PCT,LOC5,LICEN,ACCRED
1456,2013,CA,1,1,1,,0,,3,5,1,13,0,0,0,0,1,0,0,1,1,3,1,0,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,0,1,1,,1,0,1,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,1,2,1,1,1,2,1,2,1,1,2,1,1,5,0,1,1
1457,2013,CA,1,1,1,,0,,5,5,2,12,0,3,1,1,0,1,1,0,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,,,0,,,,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,1,1,1,2,1,2,2,1,1,1,,2,4,2,0,1,M
1458,2013,CA,1,1,1,,0,,2,4,2,7,0,0,1,0,0,1,0,0,,,5,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,,1,1,0,0,1,0,0,0,0,0,0,1,0,,,1,1,1,0,0,,,,,,0,0,0,0,1,0,0,0,0,1,0,,,,,,,,,,2,3,1,3,1,1,1,1,,3,,,,,,,,,,,,2,4,4,0,1,M
1459,2013,CA,1,1,1,,0,,4,7,2,11,0,0,0,0,1,1,1,1,1,3,1,0,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,1,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,1,4,1,1,1,3,1,3,1,1,3,1,1,5,0,1,1
1460,2013,CA,1,1,1,,0,,6,7,2,13,0,0,1,0,1,1,0,1,1,3,2,0,,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,,0,M,1,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,1,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,2,5,1,1,1,5,1,5,1,1,5,1,1,5,0,1,1
1461,2013,CA,1,1,1,,0,,3,6,2,6,0,0,0,0,1,0,0,1,1,3,1,0,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,0,1,1,,0,0,1,0,0,0,0,0,0,0,1,0,0,,,0,,,,1,1,1,0,0,1,1,1,0,0,1,0,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,2,2,1,1,1,2,1,2,1,1,2,1,1,5,0,1,1
1462,2013,CA,0,1,1,,0,,1,0,0,2,0,0,0,0,0,0,0,0,,,5,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,1,1,1,1,3,3,1,1,1,1,,5,1,1,0,1,M
1463,2013,CA,0,1,2,,0,,5,2,2,4,0,0,0,0,0,0,0,0,,,5,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,1,1,0,0,1,0,1,0,0,0,D,1,D,,,,,,,,,,,,,,,,,,,,1,1,1,4,2,4,4,1,1,1,,2,5,2,0,1,1
1464,2013,CA,1,1,1,,0,,5,3,2,10,0,3,1,1,0,1,1,0,,,2,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,,1,1,0,0,1,0,0,0,0,1,1,1,0,,,1,1,1,0,0,,,,,,1,0,0,0,1,0,0,0,0,1,0,,,,,,,,,,1,1,1,1,1,1,1,1,,1,,,,,,,,,,,,4,1,4,0,M,M
1465,2013,CA,1,1,1,,0,,6,3,2,11,0,1,1,1,0,1,1,0,,,4,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,,,1,0,0,0,0,0,0,0,1,0,1,0,,,1,1,1,1,0,,,,,,0,1,0,0,1,0,0,0,0,1,0,,,,,,,,,,1,1,1,1,1,1,1,1,,1,,,,,,,,,,,,1,1,5,0,1,M
1466,2013,CA,0,1,1,,0,,6,2,2,5,0,3,0,0,0,0,0,0,,,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,,1,1,0,0,0,0,0,0,1,0,0,1,0,,,0,,,,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,1,1,1,4,5,5,1,1,1,1,,2,5,1,0,1,M
1467,2013,CA,1,1,1,,0,,5,2,2,9,0,0,0,0,0,0,0,0,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,1,0,1,1,1,0,0,0,0,1,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,1,1,1,2,1,1,1,1,1,1,,4,1,1,0,1,1
1468,2013,CA,0,1,2,,0,,6,4,2,18,1,1,0,0,0,0,0,0,,,M,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,,1,,1,1,0,0,0,0,1,1,1,1,0,,,1,0,0,1,0,,,,,,1,1,1,0,1,0,0,0,0,0,0,,,,,,,,,,1,1,4,4,1,1,1,1,,4,,,,,,,,,,,,2,2,4,0,1,M
1469,2013,CA,0,1,2,,0,,0,2,2,11,0,0,0,0,0,0,0,0,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,,0,0,0,1,0,0,0,0,1,1,0,0,0,,,1,0,0,1,0,,,,,,1,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,1,1,4,4,1,1,1,1,,4,,,,,,,,,,,,5,1,1,1,M,1
1470,2013,CA,0,1,1,,0,,5,2,2,12,0,0,0,0,0,0,0,0,,,2,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,,1,,0,0,0,0,0,0,1,1,0,1,0,,,1,0,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,,,,,,,,,,,,1,1,,,,,,,,,1,1,1,1,,,,,,4,2,1,0,1,M
1471,2013,CA,0,1,2,,0,,4,3,1,15,1,0,0,0,0,0,0,0,,,1,0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,0,1,0,,1,,1,0,0,0,0,0,1,0,0,1,0,,,1,0,0,1,0,,,,,,1,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,1,1,3,3,1,1,1,1,,3,,,,,,,,,,,,4,1,2,0,1,1
1472,2013,CA,0,1,1,,0,,7,1,2,11,0,3,0,0,0,0,0,0,,,2,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,,0,0,1,0,1,1,1,1,1,1,1,1,0,,,0,,,,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,1,1,1,2,1,2,1,1,1,1,,2,1,4,0,1,M
1473,2013,CA,0,1,2,,0,,3,0,1,4,0,3,0,0,0,0,0,0,,,2,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,1,1,1,0,1,0,1,0,0,0,1,1,D,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,2,5,1,0,M,M
1474,2013,CA,0,1,2,,0,,4,1,2,11,0,0,0,0,0,0,0,0,,,4,0,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,,,0,,,,1,0,0,0,1,1,1,1,1,0,1,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,1,1,5,5,5,5,5,1,1,1,,2,3,3,1,1,M
1475,2013,CA,1,1,2,,0,,5,2,2,12,0,0,0,0,0,0,0,0,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,,1,1,1,1,1,1,0,0,1,1,1,1,0,,,1,1,1,1,0,,,,,,1,0,1,0,1,0,0,0,1,1,1,,,,,,,,,,3,1,3,4,1,1,1,1,,4,,,,,,,,,,,,1,2,5,0,1,1
1476,2013,CA,1,1,2,,0,,5,2,2,15,0,0,0,0,0,0,0,0,,,M,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,,1,1,1,0,0,0,0,1,1,1,0,1,0,,,1,1,1,1,0,,,,,,1,0,1,0,1,0,0,1,1,1,0,,,,,,,,,,2,1,3,3,1,1,1,1,,4,,,,,,,,,,,,5,1,1,0,1,1
1477,2013,CA,0,1,2,,0,,6,2,2,12,0,2,0,0,0,0,0,0,,,1,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,0,1,1,,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,1,1,1,1,1,0,1,1,0,1,0,1,D,,,,,,,,,,,,,,,,,,,,1,1,1,1,4,4,1,1,1,1,,4,1,1,0,1,1
1478,2013,CA,1,1,1,,0,,0,7,2,11,0,0,0,0,1,1,0,1,1,3,1,0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,,1,0,1,1,1,1,0,0,1,1,1,1,0,,,0,,,,1,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,1,3,1,1,1,3,1,3,1,1,3,1,1,5,0,1,1
1479,2013,CA,1,1,1,,0,,0,7,2,11,0,0,0,0,1,1,0,1,1,3,1,0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,,1,0,1,1,1,1,0,0,1,1,1,1,0,,,0,,,,1,1,1,0,0,0,1,0,1,0,1,0,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,3,1,1,1,1,1,1,1,1,1,1,1,1,5,0,1,1
1480,2013,CA,0,1,4,,0,,5,4,2,9,0,0,0,0,0,0,0,0,,,1,0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,0,1,1,,1,1,1,0,0,0,0,0,0,1,0,1,0,,,0,,,,1,0,0,0,1,1,1,0,1,0,1,0,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,1,1,1,4,2,4,1,1,1,1,,5,1,1,0,1,M
1481,2013,CA,0,1,4,,0,,5,4,2,5,0,0,0,0,0,0,0,0,,,1,0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,,,0,0,0,0,0,0,0,0,0,1,0,,,0,,,,1,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,4,1,1,1,,5,1,1,0,1,M
1482,2013,CA,0,1,2,,0,,6,3,1,12,0,0,0,0,0,0,0,0,,,1,0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,,,0,,,,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,1,1,1,1,4,4,1,1,1,1,,5,1,1,0,1,1
1483,2013,CA,0,1,2,,0,,6,2,2,15,0,1,0,0,0,0,0,0,,,3,0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,0,1,0,,1,,1,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,1,1,1,4,1,3,1,1,1,1,,5,1,1,0,1,M
1484,2013,CA,1,1,1,,0,,5,2,2,12,0,3,1,1,0,1,1,0,0,3,4,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,,1,1,0,1,0,0,0,0,0,1,0,1,0,,,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,D,1,0,,,,,,,,,,1,1,1,1,1,1,3,1,,1,1,1,2,1,1,1,1,1,2,1,,1,4,5,1,1,M
1485,2013,CA,0,1,2,,0,,4,3,2,7,0,0,1,0,0,1,0,0,,,5,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,,1,,0,0,0,1,0,0,1,1,0,1,0,,,1,0,1,1,0,,,,,,0,0,1,0,1,0,0,0,0,1,0,,,,,,,,,,1,1,1,1,1,1,1,1,,1,,,,,,,,,,,,4,1,3,0,1,M
1486,2013,CA,0,1,2,,0,,2,1,0,0,0,0,0,0,0,0,0,0,,,1,1,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,0,1,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,D,,,,,,,,,,,,,,,,,,,,1,1,1,1,5,5,1,1,1,1,,1,5,1,0,1,M
1487,2013,CA,0,1,5,,0,,6,1,1,5,0,1,0,0,0,0,0,0,,,1,0,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,1,1,1,1,1,0,1,1,1,1,D,1,1,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,2,5,1,0,M,M
1488,2013,CA,0,1,1,,0,,1,0,0,2,0,0,0,0,0,0,0,0,,,5,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,1,1,1,1,2,2,1,1,1,1,,5,1,1,0,1,M
1489,2013,CA,0,1,2,,0,,7,0,2,14,0,3,0,0,0,0,0,0,,,3,0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,0,1,1,,0,0,0,1,0,0,0,0,1,1,0,1,0,,,0,,,,1,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,M,M
1490,2013,CA,0,1,2,,0,,5,2,1,12,0,0,0,0,0,0,0,0,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,,,1,0,0,0,0,0,0,1,1,0,0,0,,,1,0,0,1,0,,,,,,0,0,1,0,1,0,0,0,0,0,0,,,,,,,,,,1,1,1,1,1,1,1,1,,1,,,,,,,,,,,,5,1,1,0,1,M
1491,2013,CA,0,1,4,,0,,4,0,2,6,0,0,0,0,0,0,0,0,,,3,0,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,,,0,0,0,0,0,0,0,1,0,0,0,,,0,,,,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,1,1,1,1,2,2,4,1,1,1,,4,1,1,0,M,M
1492,2013,CA,0,1,2,,0,,6,2,1,6,0,0,0,0,0,0,0,0,,,5,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,5,1,1,0,1,M
1493,2013,CA,1,1,1,,0,,6,7,2,12,0,3,1,1,0,1,0,0,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,,0,0,0,0,0,0,0,0,0,1,0,1,0,,,1,1,1,1,0,,,,,,0,0,0,0,1,0,0,0,0,1,0,,,,,,,,,,5,1,2,4,1,1,4,4,,2,,,,,,,,,,,,2,4,4,0,1,1
1494,2013,CA,0,1,1,,0,,5,2,2,9,0,2,0,0,0,0,0,0,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,,0,0,0,0,0,0,0,0,0,1,0,0,0,,,0,,,,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,1,1,1,3,1,2,1,1,1,1,,1,5,2,0,1,1
1495,2013,CA,0,1,2,,0,,1,3,2,14,0,2,0,0,0,0,0,0,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,,,1,0,0,1,1,0,0,1,1,1,1,0,,,1,0,1,1,0,,,,,,1,1,1,0,1,D,D,D,D,D,D,,,,,,,,,,1,1,5,5,1,1,1,1,,5,,,,,,,,,,,,2,1,5,0,1,M
1496,2013,CA,0,1,2,,0,,4,1,2,10,0,0,0,0,0,0,0,0,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,,1,1,0,1,1,1,0,0,1,0,1,1,0,,,0,,,,1,0,0,0,0,1,1,1,1,1,D,D,D,D,D,D,D,,,,,,,,,,,,,,,,,,,,1,1,1,1,3,2,1,1,1,1,,5,1,1,0,1,M
1497,2013,CA,1,1,2,,0,,1,3,2,15,0,1,0,0,0,0,0,0,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,,1,1,0,0,0,0,0,0,0,1,1,0,0,,,1,1,1,1,0,,,,,,1,1,1,0,1,1,1,0,D,D,D,,,,,,,,,,5,4,5,5,1,1,1,1,,5,,,,,,,,,,,,4,1,4,0,1,M
1498,2013,CA,0,1,2,,0,,3,1,1,6,0,0,0,0,0,0,0,0,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,0,1,1,,1,1,0,0,0,1,0,0,1,1,1,0,0,,,0,,,,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,1,1,1,1,5,5,1,1,1,1,,3,4,1,0,1,M
1499,2013,CA,0,1,1,,0,,4,1,2,12,0,0,0,0,0,0,0,0,,,1,0,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,,,0,0,1,0,0,1,1,1,1,1,0,,,0,,,,1,0,0,1,1,1,1,1,0,0,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,4,4,3,4,,,,,,1,1,5,0,1,1
1500,2013,CA,0,1,2,,0,,0,3,2,14,0,0,1,0,0,0,0,0,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,,1,,0,0,1,1,0,0,1,1,1,1,0,,,1,0,1,1,0,,,,,,1,1,1,0,1,D,D,D,D,D,D,,,,,,,,,,1,1,5,5,1,1,1,1,,5,,,,,,,,,,,,1,1,5,1,1,M
1501,2013,CA,0,1,1,,0,,5,7,2,7,0,0,1,1,0,1,1,0,,,2,M,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,,,1,0,0,1,0,0,0,0,1,0,1,0,,,1,0,1,1,0,,,,,,0,0,0,0,1,0,0,0,0,1,D,,,,,,,,,,1,5,1,5,1,1,1,1,,5,,,,,,,,,,,,2,3,3,0,1,1
1502,2013,CA,0,1,2,,0,,3,2,1,4,0,0,0,0,0,0,0,0,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,5,4,0,1,M
1503,2013,CA,1,1,1,,0,,4,2,2,9,0,2,0,0,0,0,0,0,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,1,1,1,0,,,,,,0,0,0,0,1,0,0,0,0,1,0,,,,,,,,,,1,1,1,1,1,1,1,1,,1,,,,,,,,,,,,2,3,3,0,1,M
1504,2013,CA,1,1,2,,0,,4,5,2,12,0,0,0,0,1,0,0,1,1,3,1,0,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,0,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,0,,,0,,,,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,5,0,1,1
1505,2013,CA,1,1,2,,0,,4,5,2,12,0,0,0,0,1,0,0,1,1,3,1,0,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,0,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,0,,,0,,,,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,4,2,1,1,1,2,1,3,1,1,3,1,1,5,0,1,1
1506,2013,CA,1,1,2,,0,,5,3,2,17,1,0,1,0,0,1,1,0,,,1,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,0,1,1,,1,1,1,0,0,0,0,0,0,1,0,1,0,,,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,,,,,,,,,,5,5,5,5,1,1,1,1,,5,1,1,1,1,4,3,1,1,1,1,,2,1,5,1,1,1
1507,2013,CA,0,1,2,,0,,6,5,2,15,0,1,0,0,0,0,0,0,,,5,0,,1,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,,,1,0,0,0,0,0,0,1,1,1,1,0,,,1,0,0,1,0,,,,,,1,1,0,0,1,0,0,0,0,0,0,,,,,,,,,,1,1,5,5,1,1,1,1,,5,,,,,,,,,,,,5,1,1,0,1,1
1508,2013,CA,0,1,4,,0,,3,2,2,10,0,0,0,0,0,0,0,0,,,1,0,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,0,0,1,0,0,0,1,1,0,1,0,,,0,,,,1,0,0,0,0,1,0,1,D,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,1,1,1,1,4,4,5,1,1,1,,5,1,1,0,1,M
1509,2013,CA,0,1,1,,0,,5,2,2,9,0,3,0,0,0,0,0,0,,,4,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,0,0,1,1,0,1,0,0,0,1,0,0,0,D,1,0,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,5,1,1,0,1,M
1510,2013,CA,0,1,4,,0,,6,0,2,12,0,0,0,0,0,0,0,0,,,1,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,,,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,1,1,1,1,2,2,3,1,1,1,,4,1,4,0,1,M
1511,2013,CA,0,1,2,,0,,5,2,2,5,0,1,0,0,0,0,0,0,,,2,0,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,,,0,,,,1,0,0,1,1,1,1,0,1,0,1,1,0,1,0,1,1,,,,,,,,,,,,,,,,,,,,1,1,1,1,5,5,4,1,1,1,,4,2,2,0,1,1
1512,2013,CA,1,1,1,,0,,5,1,2,4,0,1,0,0,0,0,0,0,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,1,1,1,0,,,,,,0,0,0,0,1,0,0,0,0,1,0,,,,,,,,,,3,1,1,2,1,1,1,1,,4,,,,,,,,,,,,2,3,3,0,1,1
1513,2013,CA,0,1,2,,0,,5,6,2,17,1,0,0,0,0,0,0,0,,,M,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,,1,,1,0,1,1,0,0,0,1,1,1,0,,,1,0,0,1,0,,,,,,1,0,1,0,1,0,0,0,0,0,D,,,,,,,,,,1,1,2,2,1,1,1,1,,2,,,,,,,,,,,,1,3,4,1,1,1
1514,2013,CA,0,1,2,,0,,6,6,2,15,0,0,0,1,0,0,0,0,,,M,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,,1,,0,0,0,0,0,0,0,0,0,0,0,,,1,0,1,1,0,,,,,,1,0,1,0,1,0,0,0,0,0,D,,,,,,,,,,1,1,1,1,1,1,1,1,,1,,,,,,,,,,,,2,3,3,1,1,1
1515,2013,CA,1,1,1,,0,,3,4,1,7,0,0,0,0,1,0,0,1,1,3,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,,0,0,1,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,1,1,0,0,1,1,0,0,0,1,D,1,D,0,0,0,,,,,,,,,,,,,,,,,,,,2,1,1,1,1,1,1,1,1,1,1,1,1,5,0,1,M
1516,2013,CA,0,1,1,,0,,7,2,2,10,0,1,0,0,0,0,0,0,,,M,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,1,1,1,3,1,2,1,1,1,1,,4,1,2,0,1,M
1517,2013,CA,0,1,1,,0,,1,2,0,1,0,0,0,0,0,0,0,0,,,1,1,0,0,1,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0,1,1,,0,0,M,M,M,M,M,M,M,M,M,M,0,,,0,,,,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,1,1,1,1,4,3,1,1,1,1,,2,4,2,0,M,M
1518,2013,CA,0,1,2,,0,,6,7,2,18,1,0,0,0,0,0,0,0,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,,1,,1,0,0,0,0,0,0,1,1,1,0,,,1,0,0,1,0,,,,,,1,1,1,0,0,0,0,1,0,0,0,,,,,,,,,,1,1,3,2,1,1,1,1,,2,,,,,,,,,,,,2,1,4,1,1,1
