CASEID,YEAR,STATE,DETOX,TREATMT,OWNERSHP,FEDOWN,HOSPITAL,LOCS,ASSESSMENT,TESTING,TRANSITION,ANCILLARY,SRVC75,SRVC71,SRVC108,SRVC85,SRVC87,SRVC86,OTP,OTPALL,OTPTYPE,DUI_DWI,ONLYDUI,SIGNLANG,LANG,LANG16,LANG1,LANG2,LANG3,LANG4,LANG5,LANG6,LANG7,LANG8,LANG9,LANG10,LANG11,LANG19,LANG12,LANG13,LANG14,LANG15,LANG20,LANG17,LANG18,SRVC76,SRVC83,SRVC84,SRVC33,SRVC63,SRVC62,SRVC61,SRVC31,SRVC32,CTYPE4,CTYPEHI1,CTYPEHI2,CTYPE7,CTYPERC1,CTYPERC3,CTYPERC4,CTYPE1,CTYPE6,CTYPEML,CTYPEOP,CTYPE2,CTYPE3,FEESCALE,PAYASST,EARMARK,REVCHK3,REVCHK1,REVCHK8,REVCHK5,REVCHK10,REVCHK15,REVCHK2,REVCHK17,T_CLI1,T_CLI2,T_CLIHI,H_AGE1,HIMETNUM,HIBUPNUM,HIMATNUM,HOSPBED,T_CLI3,T_CLI9,T_CLI10,T_CLIRC,R_AGE1,RCMETNUM,RCBUPNUM,RCMATNUM,RESBED,T_CLI7,T_CLIML,T_CLI8,T_CLI6,T_CLI5,T_CLIOP,O_AGE1,OPMETNUM,OPBUPNUM,OPMATNUM,B_PCT,A_PCT,D_PCT,LOC5,LICEN,ACCRED
3167,2011,FL,0,1,1,,0,,6,1,2,2,0,0,0,0,0,0,0,,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,1,1,1,1,2,1,1,1,1,,5,1,1,0,1,M
3168,2011,FL,1,1,1,,1,1,2,6,2,2,0,0,0,1,1,1,0,0,3,0,,0,0,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0,,0,0,1,1,1,0,,,,0,,,,,,0,0,0,0,1,1,1,0,1,1,D,1,1,1,1,1,1,,1,,,,,,,,,,,,,,,,,,,,5,1,1,0,1,M
3169,2011,FL,1,1,1,,0,,7,2,2,14,0,1,1,0,1,1,0,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,1,0,0,,,0,,,,1,1,0,1,1,1,1,0,0,0,1,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,1,1,1,3,2,2,1,1,3,,4,1,4,0,1,M
3170,2011,FL,1,1,1,,0,,7,6,2,3,0,1,1,0,1,1,0,,,0,,1,0,,,,,,,,,,,,,,,,,,,,,0,1,1,,0,0,0,0,,0,,,1,1,0,0,1,1,0,0,0,1,0,0,D,0,1,0,0,0,0,0,0,,,,,,,,,1,1,1,1,1,1,1,,1,4,1,1,1,1,2,1,1,3,,2,2,4,0,1,M
3171,2011,FL,1,1,2,,0,,6,4,2,9,0,0,0,1,0,0,1,1,3,0,,1,0,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,0,0,1,0,0,,,0,,,,1,1,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,,,,,,,,,,,,,,,,,,1,3,1,1,1,3,1,3,1,3,5,1,1,0,1,1
3172,2011,FL,1,1,1,,0,,6,6,2,14,0,1,1,0,1,1,0,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,,,0,,,,1,1,0,0,1,1,1,0,0,0,1,0,0,0,D,1,0,,,,,,,,,,,,,,,,,,4,1,1,1,1,2,1,1,3,,2,2,4,0,1,M
3173,2011,FL,1,1,1,,0,,2,2,2,2,0,1,1,0,1,1,0,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0,0,0,0,0,,,0,,,,1,1,0,0,1,1,0,0,0,0,1,1,1,0,1,1,0,,,,,,,,,,,,,,,,,,4,1,1,5,1,4,1,1,4,,4,3,1,0,1,M
3174,2011,FL,0,1,1,,0,,3,1,2,4,0,0,0,0,0,0,0,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,1,5,1,0,1,M
3175,2011,FL,0,1,1,,0,,5,1,2,12,0,0,0,0,0,0,0,,,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,,,0,,,,1,0,0,1,1,1,1,1,0,0,1,0,1,D,1,1,D,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,1,5,1,0,1,M
3176,2011,FL,0,1,1,,0,,4,2,2,2,0,0,0,0,0,0,0,,,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,,,0,,,,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,M
3177,2011,FL,1,1,2,,0,,6,6,2,17,1,0,0,0,1,1,0,,,0,,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,,,1,1,1,0,0,,,,,,1,1,1,0,1,1,1,1,1,1,D,,,,,,,,,1,5,1,5,1,1,4,,5,,,,,,,,,,,4,1,2,0,1,1
3178,2011,FL,0,1,1,,0,,6,7,2,15,0,1,1,0,1,1,0,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,0,1,1,0,1,1,0,1,0,0,,,1,0,1,1,1,0,0,1,1,1,0,0,0,0,1,D,D,D,D,1,D,,,,,,,,,1,1,1,1,1,1,1,,1,1,1,5,2,1,3,1,1,1,,4,2,1,0,1,1
3179,2011,FL,0,1,2,,0,,4,2,2,9,0,0,0,0,0,0,0,,,0,,1,0,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0,0,1,0,0,,,1,0,0,1,0,,,,,,1,1,1,0,0,0,1,0,0,0,D,,,,,,,,,1,1,4,4,1,1,1,,1,,,,,,,,,,,2,4,3,0,1,1
3180,2011,FL,0,1,1,,0,,2,2,2,4,0,0,0,0,0,0,0,,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0,1,0,0,0,,,0,,,,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,1,1,1,1,4,3,1,1,1,,2,1,5,0,1,M
3181,2011,FL,0,1,1,,0,,5,2,2,8,0,0,0,0,0,0,0,,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,1,1,1,1,0,0,1,0,0,D,1,1,0,,,,,,,,,,,,,,,,,,1,1,1,2,1,1,1,1,1,,5,1,1,0,1,M
3182,2011,FL,0,1,1,,0,,6,2,2,8,0,0,0,0,0,0,0,,,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,,,0,,,,1,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,0,,,,,,,,,,,,,,,,,,1,1,1,3,1,2,1,1,1,,5,1,1,0,1,M
3183,2011,FL,1,1,1,,0,,6,5,2,7,0,1,1,0,1,1,0,,,0,,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,,1,0,0,,,0,,,,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,3,1,1,1,4,4,1,1,5,,1,2,5,0,M,M
3184,2011,FL,0,1,1,,0,,6,2,2,9,0,0,0,0,0,0,0,,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,1,0,0,,,0,,,,1,0,0,0,1,1,1,1,0,0,1,0,0,D,1,1,0,,,,,,,,,,,,,,,,,,1,1,1,2,1,2,1,1,1,,5,1,1,0,1,M
3185,2011,FL,0,1,2,,0,,2,2,2,5,0,0,0,0,0,0,0,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0,,0,0,0,,,1,0,1,1,1,0,0,1,1,1,0,0,D,0,1,0,0,0,0,0,D,,,,,,,,,1,1,1,1,1,1,1,,3,1,1,1,1,1,1,1,1,1,,4,2,1,0,1,M
3186,2011,FL,0,1,3,,0,,6,1,2,7,0,0,0,0,0,0,0,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0,1,0,0,0,,,0,,,,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,1,1,1,1,2,2,1,1,1,,2,1,5,0,1,M
3187,2011,FL,0,1,1,,0,,5,1,1,13,0,0,0,0,0,0,0,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0,1,1,0,0,,,0,,,,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,5,1,1,1,1,M
3188,2011,FL,1,1,2,,0,,7,5,2,10,0,1,1,0,1,1,0,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0,0,0,0,0,,,1,0,0,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,,,,,,,,,1,1,4,4,1,1,1,,4,1,1,4,3,1,3,1,1,1,,4,1,2,0,1,1
3189,2011,FL,1,1,1,,0,,4,1,2,3,0,0,0,0,1,1,0,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,0,0,0,0,0,,,0,,,,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,1,1,1,1,5,5,1,1,5,,1,1,5,0,1,M
3190,2011,FL,0,1,1,,0,,6,6,2,14,0,0,0,0,0,0,0,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,0,1,1,,0,0,0,0,0,0,,,0,,,,1,0,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,1,1,2,1,1,1,1,1,1,,4,4,1,0,1,M
3191,2011,FL,1,1,1,,1,2,5,7,2,9,0,1,0,0,1,1,0,0,2,0,,1,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,1,0,1,1,1,0,,,,1,1,0,1,1,0,0,1,0,0,1,1,0,1,1,1,0,4,2,4,1,1,4,,3,,,,,,,,,,1,1,1,2,1,1,1,1,1,,3,4,1,0,1,1
3192,2011,FL,0,1,2,,0,,3,3,2,10,0,0,0,0,0,0,0,,,0,,1,1,,,,,,,,,,,,,,,,,,,,,0,0,1,,0,0,1,,1,0,,,1,0,0,1,0,,,,,,0,0,1,0,1,0,D,0,1,1,0,,,,,,,,,1,1,5,5,1,1,1,,5,,,,,,,,,,,1,1,5,1,M,1
3193,2011,FL,0,1,2,,0,,3,5,2,6,0,0,0,0,0,0,0,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,0,1,1,1,1,0,1,0,1,0,0,1,0,,,,,,,,,,,,,,,,,,1,1,1,1,3,3,1,1,1,,1,1,5,0,1,1
3194,2011,FL,0,1,1,,0,,5,2,1,7,0,0,0,0,0,0,0,,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,0,,,0,,,,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,4,1,2,0,1,M
3195,2011,FL,0,1,2,,0,,2,2,0,8,0,0,0,0,0,0,0,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,0,0,1,,0,0,0,,0,0,,,1,0,0,1,0,,,,,,1,1,1,0,1,0,0,0,0,0,0,,,,,,,,,1,1,4,3,1,1,1,,3,,,,,,,,,,,5,1,1,1,1,M
3196,2011,FL,0,1,1,,0,,6,7,2,11,0,0,0,0,0,0,0,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,0,1,1,,0,0,0,0,0,0,,,0,,,,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,1,1,4,2,1,3,1,1,1,,4,1,3,0,1,M
3197,2011,FL,0,1,2,,0,,3,1,2,7,0,0,0,0,0,0,0,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0,1,,0,0,,,0,,,,1,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,1,1,1,1,3,2,1,1,1,,2,1,4,0,M,1
3198,2011,FL,0,1,2,,0,,0,1,0,3,0,0,0,0,0,0,0,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,0,0,1,,,,1,,,0,,,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,,,,,,,,,1,1,2,2,1,1,1,,3,1,1,1,1,1,1,1,1,1,,2,4,2,1,M,M
3199,2011,FL,0,1,2,,0,,3,2,2,3,0,0,0,0,0,0,0,,,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,,,0,,,,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,1,1,1,1,5,5,1,1,1,,2,5,2,0,1,M
3200,2011,FL,1,1,1,,0,,5,7,2,12,0,1,0,0,1,1,0,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,1,0,0,,,0,,,,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,1,1,2,2,1,2,1,1,2,,4,1,1,0,1,M
3201,2011,FL,0,1,2,,0,,4,1,2,2,0,0,0,0,0,0,0,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,1,0,0,,,0,0,1,0,0,,,1,0,1,0,0,,,,,,0,1,1,0,1,0,1,1,1,1,0,,,,,,,,,1,4,1,3,4,1,1,,2,1,1,1,1,2,2,2,1,1,,4,1,2,0,1,1
3202,2011,FL,0,1,1,,0,,4,1,0,4,0,0,0,0,0,0,0,,,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,,0,0,0,,,0,,,,1,0,0,0,1,1,1,0,0,0,1,1,D,1,D,1,0,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,1,5,1,0,1,M
3203,2011,FL,0,1,1,,0,,4,1,2,5,0,0,0,0,0,0,0,,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,,0,,,0,,,,1,0,0,0,0,1,1,0,0,0,1,1,D,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,M
3204,2011,FL,0,1,2,,0,,3,2,2,6,0,0,0,0,0,0,0,,,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,,0,,,0,,,,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,D,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,2,5,1,0,1,M
3205,2011,FL,0,1,1,,0,,4,7,1,11,0,0,0,0,0,0,0,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,0,1,1,,0,0,,1,,0,,,0,,,,1,0,0,1,1,1,0,M,0,0,1,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,1,1,4,3,1,3,1,1,1,,2,3,3,1,1,M
3206,2011,FL,0,1,2,,0,,4,1,2,3,0,0,0,0,0,0,0,,,0,,0,1,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0,0,0,0,0,,,0,,,,1,0,0,1,1,1,1,1,1,0,1,0,1,0,0,1,0,,,,,,,,,,,,,,,,,,1,1,4,5,4,5,5,1,1,,1,2,5,0,1,1
3207,2011,FL,0,1,1,,0,,4,2,2,3,0,0,0,0,0,0,0,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,1,0,0,0,,,0,,,,1,0,0,0,0,1,1,0,0,0,1,D,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,M
3208,2011,FL,1,1,1,,0,,6,2,2,4,0,0,0,0,0,0,0,,,0,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,,,0,,,,1,1,0,0,1,1,1,1,0,0,1,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,M
3209,2011,FL,0,1,2,,0,,7,1,2,9,0,0,0,0,0,0,0,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,M
3210,2011,FL,0,1,2,,0,,6,2,2,12,0,0,0,0,0,0,0,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,1,0,0,,,0,,,,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,M
3211,2011,FL,0,1,2,,0,,7,5,2,12,0,0,0,0,0,0,0,,,0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,M
3212,2011,FL,0,1,2,,0,,6,5,2,11,0,0,0,0,0,0,0,,,0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,0,0,1,1,0,,,0,,,,1,0,0,0,0,1,1,1,1,0,1,0,1,1,0,1,D,,,,,,,,,,,,,,,,,,1,1,1,1,3,3,5,1,1,,2,4,4,0,1,1
3213,2011,FL,0,1,2,,0,,7,5,2,14,0,0,0,0,0,0,0,,,0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,0,1,1,0,0,,,1,0,1,1,0,,,,,,1,1,1,0,1,0,0,0,0,1,D,,,,,,,,,1,1,3,3,4,1,1,,3,,,,,,,,,,,2,2,4,0,1,1
3214,2011,FL,0,1,2,,1,2,2,1,2,14,0,0,0,0,0,0,0,,,0,,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,0,0,1,1,1,0,,,0,,,,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,D,,,,,,,,,,,,,,,,,,1,1,1,5,1,4,1,1,1,,3,2,2,0,1,1
3215,2011,FL,0,1,2,,0,,3,2,2,10,0,0,0,0,0,0,0,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,0,0,1,,0,0,1,1,0,0,,,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,1,1,5,4,1,1,1,,5,1,1,1,1,1,1,1,1,1,,4,1,2,1,1,M
3216,2011,FL,0,1,2,,0,,5,2,2,10,0,0,0,0,0,0,0,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,1,0,0,0,,0,0,0,0,0,,,1,0,0,1,0,,,,,,1,0,1,0,1,0,1,0,0,0,D,,,,,,,,,1,1,3,2,3,1,1,,3,,,,,,,,,,,1,1,5,0,1,1
3217,2011,FL,0,1,2,,0,,4,3,2,3,0,0,0,0,0,0,0,,,0,,1,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,1,0,0,,,0,,,,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,D,,,,,,,,,,,,,,,,,,1,1,1,1,5,5,5,1,1,,2,2,5,0,1,1
3218,2011,FL,0,1,1,,0,,6,6,1,13,0,0,M,1,0,0,1,1,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1,0,,,0,,,,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,D,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,5,0,1,1
3219,2011,FL,1,0,4,,0,,4,5,2,9,0,0,M,0,1,0,0,,,0,,1,0,,,,,,,,,,,,,,,,,,,,,0,1,1,,0,0,0,0,1,0,,,1,1,0,0,0,,,,,,1,1,1,0,1,1,1,0,0,0,D,,,,,,,,,5,1,1,4,1,1,5,,4,,,,,,,,,,,1,2,5,0,1,1
3220,2011,FL,0,1,2,,0,,4,2,2,8,0,0,M,0,0,0,0,,,0,,1,0,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,D,,,,,,,,,,,,,,,,,,1,1,1,1,5,4,1,1,1,,4,4,1,0,1,1
3221,2011,FL,1,1,2,,0,,5,2,2,10,0,0,M,0,0,0,0,,,0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,,,0,,,,1,1,0,0,1,1,1,0,1,0,1,1,1,D,D,D,D,,,,,,,,,,,,,,,,,,1,1,1,2,4,4,1,1,1,,4,2,1,0,1,1
3222,2011,FL,0,1,2,,0,,6,1,2,10,1,0,M,0,0,0,0,,,0,,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,,,1,0,0,1,1,0,0,0,0,1,1,1,1,0,1,0,1,0,1,1,D,,,,,,,,,1,1,1,1,1,1,1,,1,1,1,1,1,4,4,3,1,1,,4,1,1,0,1,1
3223,2011,FL,0,1,2,,0,,4,3,1,12,0,0,0,0,0,0,0,,,0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,,,1,0,0,1,0,,,,,,1,1,1,0,1,1,1,1,D,1,D,,,,,,,,,1,1,2,2,1,1,1,,2,,,,,,,,,,,4,4,1,0,1,1
3224,2011,FL,0,1,4,,0,,2,2,1,6,0,0,0,0,0,0,0,,,0,,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,,0,0,,,0,,,,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,1,1,1,1,5,5,1,1,1,,5,1,1,0,1,1
3225,2011,FL,1,1,2,,1,1,5,7,1,13,0,1,0,1,0,0,0,,,0,,0,1,,,,,,,,,,,,,,,,,,,,,0,1,1,,0,0,,0,0,1,1,1,0,,,,0,,,,,,1,1,0,0,1,1,1,0,1,1,D,4,1,2,1,1,1,,1,,,,,,,,,,,,,,,,,,,,2,5,1,0,1,1
3226,2011,FL,0,1,2,,0,,6,3,2,10,0,0,0,0,0,0,0,,,0,,1,1,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,1,1,0,0,,,0,,,,1,0,0,0,1,1,1,1,1,0,1,0,D,0,1,1,0,,,,,,,,,,,,,,,,,,1,1,1,1,5,5,5,1,1,,2,1,5,0,M,1
3227,2011,FL,0,1,1,,0,,6,6,2,9,0,0,M,0,0,0,0,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0,0,1,0,0,,,1,0,1,1,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,D,,,,,,,,,1,5,1,5,1,1,1,,5,1,1,1,2,1,2,1,1,1,,2,4,3,0,1,1
3228,2011,FL,1,1,1,,0,,6,7,2,16,0,1,1,0,1,1,0,,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,0,1,1,,0,0,0,0,0,0,,,1,1,1,0,0,,,,,,0,0,0,0,1,0,0,0,0,1,0,,,,,,,,,4,5,1,4,1,1,1,,5,,,,,,,,,,,1,2,5,1,1,1
3229,2011,FL,0,1,2,,0,,4,6,2,15,0,0,M,0,0,0,0,,,0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,0,0,0,1,1,0,0,0,0,1,0,0,,,1,0,0,1,0,,,,,,1,1,1,0,1,0,1,0,0,1,D,,,,,,,,,1,1,4,4,1,1,1,,5,,,,,,,,,,,2,2,4,0,1,1
3230,2011,FL,0,1,2,,0,,4,2,2,10,0,0,0,0,0,0,0,,,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,M,0,0,0,0,M,0,0,0,1,1,1,0,0,1,1,0,0,,,0,,,,1,0,0,0,0,1,1,1,1,0,1,0,1,0,1,1,0,,,,,,,,,,,,,,,,,,1,1,1,1,5,5,1,1,1,,1,4,4,0,1,1
3231,2011,FL,1,1,1,,0,,3,4,1,9,0,0,0,1,1,0,1,1,3,0,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,,,0,,,,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,1,5,1,1,1,5,1,5,1,5,1,1,5,0,1,1
3232,2011,FL,1,1,1,,0,,5,2,2,4,0,0,0,0,0,0,0,,,0,,1,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,,,0,,,,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,1,1,1,1,4,4,1,1,1,,3,2,2,0,1,M
3233,2011,FL,1,1,1,,0,,3,6,1,8,0,0,0,1,1,1,1,1,3,0,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,,,0,,,,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,1,4,1,1,1,3,1,3,1,3,1,1,5,0,1,1
3234,2011,FL,0,1,1,,0,,2,2,0,1,0,0,0,0,0,0,0,,,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,0,0,0,1,1,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,1,1,1,1,5,5,1,1,1,,1,5,1,0,1,M
3235,2011,FL,0,1,1,,0,,2,2,0,1,0,0,0,0,0,0,0,,,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,1,1,1,1,5,5,1,1,1,,4,4,1,0,1,M
3236,2011,FL,0,1,2,,0,,3,6,1,14,0,0,0,0,0,0,0,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,0,0,1,,0,0,1,,1,0,,,1,0,0,1,0,,,,,,0,0,1,0,1,0,0,0,0,0,0,,,,,,,,,1,1,5,5,1,1,1,,5,,,,,,,,,,,5,1,1,0,1,M
3237,2011,FL,0,1,2,,0,,4,5,1,5,1,0,0,0,0,0,0,,,0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,,,1,0,1,0,0,,,,,,1,1,1,0,1,0,0,0,0,1,0,,,,,,,,,1,1,5,5,1,1,1,,5,,,,,,,,,,,5,1,1,0,1,1
